彼,he/him সে/তাকে,,8,1,Jōyō Kanji
日,day  দিন,,4,2,Jōyō Kanji
私,private/I ব্যক্তিগত/আমি,,7,3,Jōyō Kanji
女,woman  নারী,,3,4,Jōyō Kanji
人,person মানুষ,,2,5,Jōyō Kanji
大,big  বড়,,3,6,Jōyō Kanji
今,now এখন,,4,7,Jōyō Kanji
行,go/act যাওয়া/কাজ করা,,6,8,Jōyō Kanji
事,thing/matter বিষয়/ঘটনা,,8,9,Jōyō Kanji
会,meet/meeting  দেখা করা/সভা,,6,10,Jōyō Kanji
学,study/learning  পড়াশোনা/শিক্ষা,,8,11,Jōyō Kanji
見,see  দেখা,,7,12,Jōyō Kanji
生,life/live জন্ম/জীবন/বাঁচা,,5,13,Jōyō Kanji
出,exit/go out  বের হওয়া,,5,14,Jōyō Kanji
手,hand  হাত,,4,15,Jōyō Kanji
年,year বছর,,6,16,Jōyō Kanji
上,above  উপরে,,3,17,Jōyō Kanji
本,book/origin  বই/মূল,,5,18,Jōyō Kanji
子,child  শিশু,,3,19,Jōyō Kanji
一,one  এক,,1,20,Jōyō Kanji
物,thing/thing বস্তু/জিনিস,,8,21,Jōyō Kanji
来,come/next আসা/পরবর্তী,,7,22,Jōyō Kanji
車,car/vehicle  গাড়ি,,7,23,Jōyō Kanji
時,time  সময়,,10,24,Jōyō Kanji
家,house/family  বাড়ি/পরিবার,,10,25,Jōyō Kanji
入,enter  প্রবেশ করা,,2,26,Jōyō Kanji
話,talk/story  কথা/গল্প,,13,27,Jōyō Kanji
食,eat/food খাওয়া/খাদ্য,,9,28,Jōyō Kanji
気,spirit/air মনোভাব/বায়ু,,6,29,Jōyō Kanji
書,write/book  লেখা/বই,,10,30,Jōyō Kanji
合,fit/combine  মেলা/একত্র করা,,6,31,Jōyō Kanji
分,divide/part  ভাগ করা/অংশ,,4,32,Jōyō Kanji
社,company/shrine কোম্পানি/মন্দির,,7,33,Jōyō Kanji
国,country  দেশ,,8,34,Jōyō Kanji
中,inside  ভিতর,,4,35,Jōyō Kanji
間,space/interval স্থান/ব্যবধান,,12,36,Jōyō Kanji
明,bright  উজ্জ্বল,,8,37,Jōyō Kanji
